"RunID","SiteID","SrcTypeID","LinerTypeID","ModelCode","Value","Ref_ID","Comment","Dependency","DoNotShowValue"
7118,"94018",2,,"cyp_3","8057677.41",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"cyp_4","8057677.41",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"cyp_5","14472905.65",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"cyv_1","24327225.32",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"cyv_2","12308588.98",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"cyv_3","10447839.35",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"cyv_4","10447839.35",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"cyv_5","18116538.55",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dydp_1","5791301.49",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dydp_2","3596433.45",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dydp_3","3270590.36",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dydp_4","3270590.36",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dydp_5","3890549.87",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dydv_1","208780.99",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dydv_2","168367.31",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dydv_3","145366.75",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dydv_4","145366.75",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dydv_5","186347.41",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dywp_1","11169.58",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dywp_2","10504.25",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dywp_3","10245.99",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dywp_4","10245.99",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dywp_5","10745.67",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dywv_1","9.65",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dywv_2","11.24",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dywv_3","11.08",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dywv_4","11.08",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Dywv_5","11.42",145,"from dispersion model","air model outputs",0
7118,"94018",2,,"Huc_Region","10",162,"site-specific - Median Value based on MetSta","site",0
7118,"94846",2,,"cyp_1","4205543.61",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"cyp_2","125281.29",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"cyp_3","120646.51",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"cyp_4","120646.51",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"cyp_5","130176.48",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"cyv_1","4494809.64",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"cyv_2","173092.62",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"cyv_3","167061.92",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"cyv_4","167061.92",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"cyv_5","179445.12",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dydp_1","765492.13",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dydp_2","29199.88",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dydp_3","28063.83",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dydp_4","28063.83",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dydp_5","30403.28",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dydv_1","39796.17",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dydv_2","1102.95",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dydv_3","1075.14",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dydv_4","1075.14",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dydv_5","1132.09",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dywp_1","3776.45",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dywp_2","282.11",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dywp_3","274.5",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dywp_4","274.5",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dywp_5","290.06",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dywv_1","1.67",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dywv_2","0.3",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dywv_3","0.29",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dywv_4","0.29",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Dywv_5","0.3",145,"from dispersion model","air model outputs",0
7118,"94846",2,,"Huc_Region","7",162,"site-specific - Median Value based on MetSta","site",0
10001,,3,,"Area_1","323750",219,,"site",0
10001,,3,,"Area_2","5690",145,"length of source x buffer width; width is 10 m per Part 503 Biosolids rule","site",0
10001,,3,,"BD","1.5105",145,"calculated from WCS (saturated water content)","site",0
10001,,3,,"CN","80",168,"based on cover type and hydrologic soil group","site",0
10001,,3,,"CNwmu","74",168,"based on cover type and hydrologic soil group","site",0
10001,,3,,"ConVs","5.362",161,"Median Value","site",0
10001,,3,,"CutOffYr","1",148,,"practices",0
10001,,3,,"DRZ","82.7",154,"Median Value","site",0
10001,,3,,"effdust","0.495",164,"Median Value","site",0
10001,,3,,"foc_soil","0.0118",163,"Calculated using percent organic matter from STATSGO, based on EPACMTP - Median Value","site",0
10001,,3,,"K","0.0716",163,"area weighted average for each soil texture within met region - Median Value","site",0
10001,,3,,"Ksat","0.45",149,"based on surface soil textures - Median Value","site",0
10001,,3,,"Kwmu","0.0716",163,"area weighted average for each soil texture within met region - Median Value","site",0
10001,,3,,"Lc","0.000231",164,"review - Median Value","site",0
10001,,3,,"LS","1.5",25,,"site",0
10001,,3,,"Nappl","1",148,,"practices",0
10001,,3,,"PI_4","11.07",153,,"Percent impervious (watershed) - Median Value",0
10001,,3,,"Rappl","0.0125",145,,"practices",0
10001,,3,,"RWS_frac","0.451",148,"Median Value","site",0
10001,,3,,"SMb","5.3",152,"based on surface soil textures - Median Value","site",0
10001,,3,,"SMFC","22.48",150,"based on average hydrologic soil group for each soil texture - Median Value","site",0
10001,,3,,"SMWP","11.48",150,"based on average hydrologic soil group for each soil texture - Median Value","site",0
10001,,3,,"Ss","42.5",163,"area weighted average for each soil texture within met region - Median Value","site",0
10001,,3,,"Theta","3.66",163,"area weighted average for each soil texture within met region - Median Value","site",0
10001,,3,,"veg","0.8",144,"0.8-1.0, mean of 0.9, std dev 0.1, protective assumption for screening","site",0
10001,,3,,"Vs_WB","10.07",151,"assumed triangular distribution with max corresponding to Chapra high end for phytoplankton - Median Value","waterbody/watershed",0
10001,,3,,"WCS","0.43",149,"based on surface soil textures","site",0
10001,,3,,"WSpH","6.0",163,"area weighted average for each soil texture within met region - Median Value","waterbody/watershed",0
10001,,3,,"X","200",37,"Calculated based on equation in cited reference to give LS of 1.5 based on theta of 3.66","site",0
10001,,3,,"zruf","3.7",164,,"practices",0
10001,,3,,"zZ1WMU","0.02",148,,"practices",0
10001,"13880",3,,"cyp_1","27035693.34",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"cyp_2","12852707.97",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"cyp_3","11348664.72",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"cyp_4","11348664.72",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"cyp_5","18464168.76",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"cyv_1","33075947.16",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"cyv_2","17009911.53",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"cyv_3","15084236.65",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"cyv_4","15084236.65",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"cyv_5","23611006.92",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dydp_1","5084892.15",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dydp_2","2403808.95",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dydp_3","2164717.82",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dydp_4","2164717.82",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dydp_5","2598760.07",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dydv_1","227661.7",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dydv_2","175155.54",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dydv_3","150985.04",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dydv_4","150985.04",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dydv_5","194649.95",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dywp_1","29826.71",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dywp_2","17276.12",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dywp_3","16751.03",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dywp_4","16751.03",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dywp_5","17873.62",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dywv_1","24.41",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dywv_2","20.41",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dywv_3","19.87",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dywv_4","19.87",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Dywv_5","20.99",145,"from dispersion model","air model outputs",0
10001,"13880",3,,"Huc_Region","3",162,"site-specific - Median Value based on MetSta","site",0
10001,"94018",3,,"cyp_1","20012193.36",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"cyp_2","9636686.72",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"cyp_3","8057677.41",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"cyp_4","8057677.41",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"cyp_5","14472905.65",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"cyv_1","24327225.32",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"cyv_2","12308588.98",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"cyv_3","10447839.35",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"cyv_4","10447839.35",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"cyv_5","18116538.55",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dydp_1","5791301.49",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dydp_2","3596433.45",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dydp_3","3270590.36",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dydp_4","3270590.36",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dydp_5","3890549.87",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dydv_1","208780.99",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dydv_2","168367.31",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dydv_3","145366.75",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dydv_4","145366.75",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dydv_5","186347.41",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dywp_1","11169.58",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dywp_2","10504.25",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dywp_3","10245.99",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dywp_4","10245.99",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dywp_5","10745.67",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dywv_1","9.65",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dywv_2","11.24",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dywv_3","11.08",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dywv_4","11.08",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Dywv_5","11.42",145,"from dispersion model","air model outputs",0
10001,"94018",3,,"Huc_Region","10",162,"site-specific - Median Value based on MetSta","site",0
10001,"94846",3,,"cyp_1","4205543.61",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"cyp_2","125281.29",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"cyp_3","120646.51",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"cyp_4","120646.51",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"cyp_5","130176.48",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"cyv_1","4494809.64",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"cyv_2","173092.62",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"cyv_3","167061.92",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"cyv_4","167061.92",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"cyv_5","179445.12",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dydp_1","765492.13",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dydp_2","29199.88",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dydp_3","28063.83",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dydp_4","28063.83",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dydp_5","30403.28",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dydv_1","39796.17",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dydv_2","1102.95",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dydv_3","1075.14",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dydv_4","1075.14",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dydv_5","1132.09",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dywp_1","3776.45",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dywp_2","282.11",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dywp_3","274.5",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dywp_4","274.5",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dywp_5","290.06",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dywv_1","1.67",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dywv_2","0.3",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dywv_3","0.29",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dywv_4","0.29",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Dywv_5","0.3",145,"from dispersion model","air model outputs",0
10001,"94846",3,,"Huc_Region","7",162,"site-specific - Median Value based on MetSta","site",0
,,,,"D_over_dx_5","0.0000000081667",,"Added for VVWM","waterbody/watershed",0
,,,,"D_over_dx_3","0.0000000059928",,"Added for VVWM","waterbody/watershed",0
,,,0,"d_liner","0",197,"Not applicable as no liner",,0
,,,1,"d_liner","0.9144",143,,,0
,,,2,"d_liner","0",197,"Not applicable to composite liner",,0
,,,0,"hydc_liner","0",197,"Not applicable as no liner",,0
,,,1,"hydc_liner","1e-9",143,,,0
,,,2,"hydc_liner","0",197,"Not applicable to composite liner",,0
,,,0,"Infil_CompLiner","0",197,"Not applicable as no liner",,0
,,,1,"Infil_CompLiner","0",197,"Not applicable to clay liner",,0
,,,2,"Infil_CompLiner","1.4E-6",222,"90th percentile, converted from 5E-4 m/yr to m/d",,0
,"13880",,,"cypSI_1","0",145,"from dispersion model","air model outputs",0
,"94018",,,"cypSI_1","0",145,"from dispersion model","air model outputs",0
,"94846",,,"cypSI_1","0",145,"from dispersion model","air model outputs",0
,"13880",,,"cypSI_2","0",145,"from dispersion model","air model outputs",0
,"94018",,,"cypSI_2","0",145,"from dispersion model","air model outputs",0
,"94846",,,"cypSI_2","0",145,"from dispersion model","air model outputs",0
,"13880",,,"cypSI_3","0",145,"from dispersion model","air model outputs",0
,"94018",,,"cypSI_3","0",145,"from dispersion model","air model outputs",0
,"94846",,,"cypSI_3","0",145,"from dispersion model","air model outputs",0
,"13880",,,"cypSI_4","0",145,"from dispersion model","air model outputs",0
,"94018",,,"cypSI_4","0",145,"from dispersion model","air model outputs",0
,"94846",,,"cypSI_4","0",145,"from dispersion model","air model outputs",0
,"13880",,,"cypSI_5","0",145,"from dispersion model","air model outputs",0
,"94018",,,"cypSI_5","0",145,"from dispersion model","air model outputs",0
,"94846",,,"cypSI_5","0",145,"from dispersion model","air model outputs",0
,"13880",,,"cyvSI_1","4537388.18",145,"from dispersion model","air model outputs",0
,"94018",,,"cyvSI_1","3051381.69",145,"from dispersion model","air model outputs",0
,"94846",,,"cyvSI_1","4494809.64",145,"from dispersion model","air model outputs",0
,"13880",,,"cyvSI_2","293415.52",145,"from dispersion model","air model outputs",0
,"94018",,,"cyvSI_2","188728.54",145,"from dispersion model","air model outputs",0
,"94846",,,"cyvSI_2","173092.62",145,"from dispersion model","air model outputs",0
,"13880",,,"cyvSI_3","283157.93",145,"from dispersion model","air model outputs",0
,"94018",,,"cyvSI_3","183166.8",145,"from dispersion model","air model outputs",0
,"94846",,,"cyvSI_3","167061.92",145,"from dispersion model","air model outputs",0
,"13880",,,"cyvSI_4","283157.93",145,"from dispersion model","air model outputs",0
,"94018",,,"cyvSI_4","183166.8",145,"from dispersion model","air model outputs",0
,"94846",,,"cyvSI_4","167061.92",145,"from dispersion model","air model outputs",0
,"13880",,,"cyvSI_5","304206.39",145,"from dispersion model","air model outputs",0
,"94018",,,"cyvSI_5","194562.9",145,"from dispersion model","air model outputs",0
,"94846",,,"cyvSI_5","179445.12",145,"from dispersion model","air model outputs",0
,"13880",,,"DydpSI_1","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DydpSI_1","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DydpSI_1","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DydpSI_2","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DydpSI_2","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DydpSI_2","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DydpSI_3","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DydpSI_3","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DydpSI_3","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DydpSI_4","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DydpSI_4","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DydpSI_4","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DydpSI_5","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DydpSI_5","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DydpSI_5","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DydvSI_1","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DydvSI_1","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DydvSI_1","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DydvSI_2","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DydvSI_2","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DydvSI_2","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DydvSI_3","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DydvSI_3","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DydvSI_3","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DydvSI_4","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DydvSI_4","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DydvSI_4","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DydvSI_5","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DydvSI_5","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DydvSI_5","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DywpSI_1","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DywpSI_1","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DywpSI_1","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DywpSI_2","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DywpSI_2","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DywpSI_2","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DywpSI_3","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DywpSI_3","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DywpSI_3","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DywpSI_4","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DywpSI_4","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DywpSI_4","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DywpSI_5","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DywpSI_5","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DywpSI_5","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DywvSI_1","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DywvSI_1","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DywvSI_1","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DywvSI_2","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DywvSI_2","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DywvSI_2","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DywvSI_3","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DywvSI_3","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DywvSI_3","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DywvSI_4","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DywvSI_4","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DywvSI_4","0",145,"from dispersion model","air model outputs",0
,"13880",,,"DywvSI_5","0",145,"from dispersion model","air model outputs",0
,"94018",,,"DywvSI_5","0",145,"from dispersion model","air model outputs",0
,"94846",,,"DywvSI_5","0",145,"from dispersion model","air model outputs",0
,,,0,"DAF_SI","1",144,,,0
,,,1,"DAF_SI","2",144,,,0
,,,2,"DAF_SI","1E+7",144,,,0
