"Modules","Category","SubCategory","ModelCode","Units","Description","Value","RefID","Comment","ValueType","MinValue","MaxValue","Temp","DataSource","DataTable","MayBeNonNumeric","ParameterCode"
,,,"WSpH","[pH units]","Soil pH (watershed)","Specific",,,,,,"",,"Fate_constant:Soil",0,"WSpH"
,,,"X","[m]","Flowlength (watershed)","Specific",,,,,,"",,"Fate_constant:Derived",0,"X"
,,,"zava","[m]","Upper averaging depth for soil concentration","Specific",,,,,,"",,"Fate_constant:Derived",0,"zavg_upper"
,,,"zavb","[m]","Lower averaging depth for soil concentration","Specific",,,,,,"",,"Fate_constant:Derived",0,"zavg_lower"
,,,"zruf","[cm]","Roughness height (field)","Specific",,,,,,"",,"Fate_constant:Landuse",0,"zruf"
,,,"Zt","[cm]","Mixing depth of tilled soil (field)","Specific",,,,,,"",,"Fate_constant:Constant",0,"Zmix_tilled"
,,,"Zu","[cm]","Mixing depth of untilled soil (field)","Specific",,,,,,"",,"Fate_constant:Constant",0,"Zmix_untilled"
,,,"zZ1sa","[m]","Depth of modeled soil column","Specific",,,,,,"",,"Fate_constant:Derived",0,"Zmodeled"
,,,"zZ1WMU","[m]","Tilling depth","Specific",,,,,,"",,"Fate_constant:Constant",0,"Ztilling"
,,,"zZ2WMU","[m]","Subsoil layer thickness","Specific",,,,,,"",,"Fate_constant:Derived",0,"Zsubsoil"
,"Chemical","Chemical Property","Density","[g/cm3]","Density (chemical)","Chemical Specific",,"requred for inorganics","Constant",0.00,23.00,"",,"Chemical_constant",0,"Density"
,"Chemical","Chemical Property","MW","[g/mol]","Molecular weight","Chemical specific",,"required","Constant",6.00,1000.00,"289.55",,"Chemical_constant",0,"MW"
,"Chemical","Chemical Property","Sol","[mg/L]","Solubility","Chemical specific",,"required, >0","Constant",1.0e-12,1.0e+06,"5.5",,"Chemical_constant",0,"Sol"
,"Chemical","Chemical Property","tb","[deg C]","Boiling point","Chemical specific",,"default -9999","Constant",0.00,5000.00,"285",,"Chemical_constant",0,"tb"
,"Chemical","Chemical Property","UseRfDPath","NA","True if pathway-specific value is to be used","Chemical specific",,,"Constant",-1.00,0.00,"0",,"Chemical_constant",0,"UseRfDPath"
"BreastMilkMediaRisk","Exposure",,"ED_1","[yrs]","Exposure duration (child aged 1-5)","Run Specific",140,,"Distribution",,,"13",,"Exposure_constant",0,"ED_child1-5"
"BreastMilkMediaRisk","Exposure",,"ED_2","[yrs]","Exposure duration (child aged 6-11)","Run Specific",140,,"Distribution",,,"13",,"Exposure_constant",0,"ED_child6-11"
"BreastMilkMediaRisk","Exposure",,"ED_3","[yrs]","Exposure duration (child aged 12-19)","Run Specific",140,,"Distribution",,,"13",,"Exposure_constant",0,"ED_child12-19"
"BreastMilkMediaRisk","Exposure",,"ED_4","[yrs]","Exposure duration (adult)","Receptor Specific",140,,"Distribution",,,"48",,"Exposure_constant",0,"ED_adult"
"BreastMilkRisk","Exposure",,"AT","[yrs]","Averaging time for human exposure (cancer)","70",165,,"Constant",,,"70",,"tbl_Model_Parameters:ExpFactor",0,"AT"
"Media","Chemical","Biotransfer","Bs","[fraction]","Bioavailability of contaminant in soil relative to vegetation","Chemical Specific",,"default 1","Constant",0.00,1.00,"1",,"Chemical_constant",0,"Bs"
"Media","Chemical","Chemical Property","Kanaer","[1/day]","Anaerobic degradation rate (sediment)","Chemical Specific",,"default 0","Constant",0.00,2.00,"0.0099",,"Chemical_constant",0,"Kanaer"
"Media","Chemical","Chemical Property","Kd","[L/kg]","Soil-water partition coefficient","Chemical Specific",,"required for inorganics","Distribution",0.00,10000.00,"",,"Chemical_constant",0,"Kd"
"Media","Chemical","Chemical Property","Kh","[1/day]","Hydrolysis rate","Chemical Specific",,"default 0","Constant",0.00,50.00,"0",,"Chemical_constant",0,"Kh"
"Media","Chemical","Chemical Property","Koc","[mL/g]","Organic carbon partition coefficient","Chemical Specific",,"required","Constant",0.00,1.0e+09,"15850",,"Chemical_constant",0,"Koc"
"Media","Chemical","Chemical Property","ksoil","[1/day]","Biodegradation rate (soil)","Chemical Specific",,"default 0","Constant",0.00,100.00,"0.0385",,"Chemical_constant",0,"ksoil"
"Media","Dispersion",,"Cyp_1","[ug/m3]/[g/sec-m2]","Normalized air concentration over field (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyp_field"
"Media","Dispersion",,"Cyp_2","[ug/m3]/[g/sec-m2]","Normalized air concentration over buffer (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyp_buffer"
"Media","Dispersion",,"Cyp_3","[ug/m3]/[g/sec-m2]","Normalized air concentration over index reservoir (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyp_reserv"
"Media","Dispersion",,"Cyp_4","[ug/m3]/[g/sec-m2]","Normalized air concentration over watershed (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyp_RWS"
"Media","Dispersion",,"Cyp_5","[ug/m3]/[g/sec-m2]","Normalized air concentration over farm pond (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyp_pond"
"Media","Dispersion",,"Cyv_1","[ug/m3]/[g/sec-m2]","Normalized air concentration over field (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyv_field"
"Media","Dispersion",,"Cyv_2","[ug/m3]/[g/sec-m2]","Normalized air concentration over buffer (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyv_buffer"
"Media","Dispersion",,"Cyv_3","[ug/m3]/[g/sec-m2]","Normalized air concentration over index reservoir (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyv_reserv"
"Media","Dispersion",,"Cyv_4","[ug/m3]/[g/sec-m2]","Normalized air concentration over watershed (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyv_RWS"
"Media","Dispersion",,"Cyv_5","[ug/m3]/[g/sec-m2]","Normalized air concentration over farmpond (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyv_pond"
"Media","Dispersion",,"Dydp_1","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over field (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydp_field"
"Media","Dispersion",,"Dydp_2","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over buffer (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydp_buffer"
"Media","Dispersion",,"Dydp_3","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over index reservoir (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydp_reserv"
"Media","Dispersion",,"Dydp_4","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over watershed (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydp_RWS"
"Media","Dispersion",,"Dydp_5","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over farm pond (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydp_pond"
"Media","Dispersion",,"Dydv_1","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over field (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydv_field"
"Media","Dispersion",,"Dydv_2","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over buffer (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydv_buffer"
"Media","Dispersion",,"Dydv_3","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over index reservoir (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydv_reserv"
"Media","Dispersion",,"Dydv_4","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over watershed (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydv_RWS"
"Media","Dispersion",,"Dydv_5","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over farm pond (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydv_pond"
"Media","Dispersion",,"Dywp_1","[g/m2-yr]/[g/sec-m2]","Normalized wet deposition over field (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dywp_field"
"Media","Dispersion",,"Dywp_2","[g/m2-yr]/[g/sec-m2]","Normalized wet deposition over buffer (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dywp_buffer"
"Media","Dispersion",,"Dywp_3","[g/m2-yr]/[g/sec-m2]","Normalized wet deposition over index reservoir (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dywp_reserv"
"Media","Dispersion",,"Dywp_4","[g/m2-yr]/[g/sec-m2]","Normalized wet deposition over  watershed (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dywp_RWS"
"Media","Dispersion",,"Dywp_5","[g/m2-yr]/[g/sec-m2]","Normalized wet deposition over farm pond (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dywp_pond"
"Media","Dispersion",,"Dywv_1","[g/m2-yr]/[g/sec-m2]","Normalized wet deposition over field (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dywv_field"
"Media","Dispersion",,"Dywv_2","[g/m2-yr]/[g/sec-m2]","Normalized wet deposition over buffer (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dywv_buffer"
"Media","Dispersion",,"Dywv_3","[g/m2-yr]/[g/sec-m2]","Normalized wet deposition over index reservoir (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dywv_reserv"
"Media","Dispersion",,"Dywv_4","[g/m2-yr]/[g/sec-m2]","Normalized wet deposition over  watershed (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dywv_RWS"
"Media","Dispersion",,"Dywv_5","[g/m2-yr]/[g/sec-m2]","Normalized wet deposition over farm pond (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dywv_pond"
"MediaRisk","Chemical","Chemical Property","Vdv ","[cm/sec]","Dry deposition velocity (vapor)","1",158,,"Constant",,,"1",,"tbl_Model_Parameters:Chem",0,"Vdv "
"MediaShower","Chemical","Chemical Property","Da","[cm2/s]","Diffusivity in air","Chemical Specific",,"required","Constant",0.00,1.00,"0.0438",,"Chemical_constant",0,"Da"
"MediaShower","Chemical","Chemical Property","Dw","[cm2/s]","Diffusion coefficient in water","Chemical Specific",,"required","Constant",0.00,0.01,"6.2E-6",,"Chemical_constant",0,"Dw"
"MediaShower","Chemical","Chemical Property","HLC","[atm-m3/mol]","Henry's law constant","Chemical Specific",,"required","Constant",0.00,10.00,"5E-9",,"Chemical_constant",0,"HLC"
"MediaSource","Chemical","Chemical Property","NumChem","NA","Chemical number for source model","1",146,,"Constant",,,"1",,"tbl_Model_Parameters:System",0,"NumChem"
"Risk","Biota","Cattle","DF_forage_beef","[fraction]","Diet fraction, forage (beef cattle)","0.72",25,"Calc'd from Qforage/Qtotal","Constant",,,"0.72",,"tbl_Model_Parameters:Biota",0,"DF_forage_beef"
"Risk","Biota","Cattle","DF_forage_milk","[fraction]","Diet fraction, forage (dairy cattle)","0.64",25,"Calc'd from Qforage/Qtotal","Constant",,,"0.64",,"tbl_Model_Parameters:Biota",0,"DF_forage_milk"
"Risk","Biota","Cattle","DF_silage_beef","[fraction]","Diet fraction, silage (beef cattle)","0.2",25,"Calc'd from Qsilage/Qtotal","Constant",,,"0.2",,"tbl_Model_Parameters:Biota",0,"DF_silage_beef"
"Risk","Biota","Cattle","DF_silage_milk","[fraction]","Diet fraction, silage (dairy cattle)","0.2",25,"Calc'd from Qsilage/Qtotal","Constant",,,"0.2",,"tbl_Model_Parameters:Biota",0,"DF_silage_milk"
"Risk","Biota","Cattle","DF_soil_beef","[fraction]","Diet fraction, soil (beef cattle)","0.04",25,"Calc'd from Qsoil/Qtotal","Constant",,,"0.04",,"tbl_Model_Parameters:Biota",0,"DF_soil_beef"
"Risk","Biota","Cattle","DF_soil_milk","[fraction]","Diet fraction, soil (dairy cattle)","0.02",25,"Calc'd from Qsoil/Qtotal","Constant",,,"0.02",,"tbl_Model_Parameters:Biota",0,"DF_soil_milk"
"Risk","Biota","Cattle","FF","[fraction]","Feedlot factor for beef fat","1",25,,"Constant",,,"1",,"tbl_Model_Parameters:ExpFactor",0,"FF"
"Risk","Biota","Fraction Contaminated","F_forage","[fraction]","Fraction contaminated (forage)","1",144,,"Constant",,,"1",,"tbl_Model_Parameters:ExpFactor",0,"F_forage"
"Risk","Biota","Fraction Contaminated","F_silage","[fraction]","Fraction contaminated (silage)","1",144,,"Constant",,,"1",,"tbl_Model_Parameters:ExpFactor",0,"F_silage"
"Risk","Biota","Vegetation","MAF_exfruit","[% water]","Moisture adjustment factor (exposed fruits)","86",140,,"Constant",,,"86",,"tbl_Model_Parameters:Biota",0,"MAF_exfruit"
"Risk","Biota","Vegetation","MAF_exveg","[% water]","Moisture adjustment factor (exposed vegetables)","90",140,,"Constant",,,"90",,"tbl_Model_Parameters:Biota",0,"MAF_exveg"
"Risk","Biota","Vegetation","MAF_forage","[% water]","Moisture adjustment factor (forage)","80",272,,"Constant",,,"80",,"tbl_Model_Parameters:Biota",0,"MAF_forage"
"Risk","Biota","Vegetation","MAF_grain","[% water]","Moisture adjustment factor (grain)","65",271,"used value for silage","Constant",,,"65",,"tbl_Model_Parameters:Biota",0,"MAF_grain"
"Risk","Biota","Vegetation","MAF_profruit","[% water]","Moisture adjustment factor (protected fruits)","88",140,,"Constant",,,"88",,"tbl_Model_Parameters:Biota",0,"MAF_profruit"
"Risk","Biota","Vegetation","MAF_proveg","[% water]","Moisture adjustment factor (protected vegetables)","87",140,,"Constant",,,"87",,"tbl_Model_Parameters:Biota",0,"MAF_proveg"
"Risk","Biota","Vegetation","MAF_root","[% water]","Moisture adjustment factor (root vegetables)","88",140,,"Constant",,,"88",,"tbl_Model_Parameters:Biota",0,"MAF_root"
"Risk","Biota","Vegetation","MAF_silage","[% water]","Moisture adjustment factor (silage)","65",271,,"Constant",,,"65",,"tbl_Model_Parameters:Biota",0,"MAF_silage"
"Risk","Biota","Vegetation","Rp_exfruit","[fraction]","Interception fraction (exposed fruit)","0.39",25,,"Constant",,,"0.39",,"tbl_Model_Parameters:Biota",0,"Rp_exfruit"
"Risk","Biota","Vegetation","Rp_exveg","[fraction]","Interception fraction (exposed vegetation)","0.39",25,,"Constant",,,"0.39",,"tbl_Model_Parameters:Biota",0,"Rp_exveg"
"Risk","Biota","Vegetation","Rp_feed","[fraction]","Interception fraction (feed)","0.46",25,,"Constant",,,"0.46",,"tbl_Model_Parameters:Biota",0,"Rp_feed"
"Risk","Biota","Vegetation","Rp_forage","[fraction]","Interception fraction (forage)","0.5",25,,"Constant",,,"0.5",,"tbl_Model_Parameters:Biota",0,"Rp_forage"
"Risk","Biota","Vegetation","Rp_silage","[fraction]","Interception fraction (silage)","0.46",25,,"Constant",,,"0.46",,"tbl_Model_Parameters:Biota",0,"Rp_silage"
"Risk","Biota","Vegetation","Tp_exfruit","[yrs]","Length of plant exposure to deposition (exposed fruit)","0.164",25,"= 45 days","Constant",,,"0.164",,"tbl_Model_Parameters:Biota",0,"Tp_exfruit"
"Risk","Biota","Vegetation","Tp_exveg","[yrs]","Length of plant exposure to deposition (exposed vegetables)","0.164",25,"= 45 days","Constant",,,"0.164",,"tbl_Model_Parameters:Biota",0,"Tp_exveg"
"Risk","Biota","Vegetation","Tp_feed","[yrs]","Length of plant exposure to deposition (feed)","0.164",25,"= 60 days","Constant",,,"0.164",,"tbl_Model_Parameters:Biota",0,"Tp_feed"
"Risk","Biota","Vegetation","Tp_forage","[yrs]","Length of plant exposure to deposition (forage)","0.123",25,"= 45 days","Constant",,,"0.123",,"tbl_Model_Parameters:Biota",0,"Tp_forage"
"Risk","Biota","Vegetation","Tp_silage","[yrs]","Length of plant exposure to deposition (silage)","0.164",25,"= 60 days","Constant",,,"0.164",,"tbl_Model_Parameters:Biota",0,"Tp_silage"
"Risk","Biota","Vegetation","VG_exfruit","[fraction]","Empirical correction factor (exposed fruit)","0.01",25,,"Constant",,,"0.01",,"tbl_Model_Parameters:Biota",0,"VG_exfruit"
"Risk","Biota","Vegetation","VG_exveg","[fraction]","Empirical correction factor (exposed vegetables)","0.01",25,,"Constant",,,"0.01",,"tbl_Model_Parameters:Biota",0,"VG_exveg"
"Risk","Biota","Vegetation","VG_feed","[fraction]","Empirical correction factor (feed)","0.5",25,,"Constant",,,"0.5",,"tbl_Model_Parameters:Biota",0,"VG_feed"
"Risk","Biota","Vegetation","VG_forage","[fraction]","Empirical correction factor (forage)","1",25,,"Constant",,,"1",,"tbl_Model_Parameters:Biota",0,"VG_forage"
"Risk","Biota","Vegetation","VG_root","[fraction]","Empirical correction factor (root vegetables)","0.01",25,,"Constant",,,"0.01",,"tbl_Model_Parameters:Biota",0,"VG_root"
"Risk","Biota","Vegetation","VG_silage","[fraction]","Empirical correction factor (silage)","0.5",25,,"Constant",,,"0.5",,"tbl_Model_Parameters:Biota",0,"VG_silage"
"Risk","Biota","Vegetation","Yp_exfruit","[kg DW/m2]","Crop yield (exposed fruit)","2.24",25,,"Constant",,,"2.24",,"tbl_Model_Parameters:Biota",0,"Yp_exfruit"
"Risk","Biota","Vegetation","Yp_exveg","[kg DW/m2]","Crop yield (exposed vegetables)","2.24",25,,"Constant",,,"2.24",,"tbl_Model_Parameters:Biota",0,"Yp_exveg"
"Risk","Biota","Vegetation","Yp_feed","[kg DW/m2]","Crop yield (feed)","0.8",25,,"Constant",,,"0.8",,"tbl_Model_Parameters:Biota",0,"Yp_feed"
"Risk","Biota","Vegetation","Yp_forage","[kg DW/m2]","Crop yield (forage)","0.24",25,,"Constant",,,"0.24",,"tbl_Model_Parameters:Biota",0,"Yp_forage"
"Risk","Biota","Vegetation","Yp_silage","[kg DW/m2]","Crop yield (silage)","0.8",25,,"Constant",,,"0.8",,"tbl_Model_Parameters:Biota",0,"Yp_silage"
"Risk","Chemical","Biotransfer","BCF_beef","[mg/kg beef]/[mg/kg DW]","Bioconcentration factor (beef)","Chemical specific",,"required for inorganics","Constant",0.00,8000.00,"0.238",,"Chemical_constant",0,"BCF_beef"
"Risk","Chemical","Biotransfer","BCF_milk","[mg/kg milk]/[mg/kg DW]","Bioconcentration factor (milk)","Chemical specific",,"required for inorganics","Constant",0.00,16000.00,"0.0845",,"Chemical_constant",0,"BCF_milk"
"Risk","Chemical","Biotransfer","BCF_T3F","[mg/kg fish]/[mg/L water]","Bioaccumulation factor (TL3 fish, filet; used for human)","Chemical Specific",,"default 0","Constant",0.00,1.0e+09,"210",,"Chemical_constant",0,"BCF_T3F"
"Risk","Chemical","Biotransfer","BCF_T3W","[mg/kg fish]/[mg/L water]","Bioaccumulation factor (TL3 fish, whole; used for eco)","Chemical Specific",,"default 0","Constant",0.00,1.0e+09,"210",,"Chemical_constant",0,"BCF_T3W"
"Risk","Chemical","Biotransfer","BCF_T4F","[mg/kg fish]/[mg/L water]","Bioaccumulation factor (TL4 fish, filet; used for human)","Chemical Specific",,"default 0","Constant",0.00,1.0e+09,"250",,"Chemical_constant",0,"BCF_T4F"
"Risk","Chemical","Biotransfer","BCF_T4W","[mg/kg fish]/[mg/L water]","Bioaccumulation factor (TL4 fish, whole; used for eco)","Chemical Specific",,"default 0","Constant",0.00,1.0e+09,"250",,"Chemical_constant",0,"BCF_T4W"
"Risk","Chemical","Biotransfer","BrExfruit","[mg/kg DW plant]/[mg/kg soil]","Biotransfer (soil to exposed fruit)","Chemical Specific",,"required for inorganics","Constant",0.00,10.00,"0.322",,"Chemical_constant",0,"BrExfruit"
"Risk","Chemical","Biotransfer","BrExveg","[mg/kg DW plant]/[mg/kg soil]","Biotransfer  factor (soil to exposed vegetables)","Chemical Specific",,"required for inorganics","Constant",0.00,10.00,"0.322",,"Chemical_constant",0,"BrExveg"
"Risk","Chemical","Biotransfer","BrForage","[mg/kg DW plant]/[mg/kg soil]","Biotransfer  factor (soil to forage)","Chemical Specific",,"required for inorganics","Constant",0.00,10.00,"0.322",,"Chemical_constant",0,"BrForage"
"Risk","Chemical","Biotransfer","BrGrain","[mg/kg DW plant]/[mg/kg soil]","Biotransfer  factor (soil to grain)","Chemical Specific",,"required for inorganics","Constant",0.00,10.00,"0.322",,"Chemical_constant",0,"BrGrain"
"Risk","Chemical","Biotransfer","BrProfruit","[mg/kg DW plant]/[mg/kg soil]","Biotransfer  factor (soil to protected fruit)","Chemical Specific",,"required for inorganics","Constant",0.00,10.00,"0.322",,"Chemical_constant",0,"BrProfruit"
"Source","Chemical",,"C_in","[mg/L]","Chemical concentration (influent)","Chemical Specific",145,"Current value stored in temp field, calc'd from CTP Waste","Constant",0.00,1.0e+06,"",,"tbl_Model_Parameters:System",0,"C_in"
"Risk","Chemical","Biotransfer","BrProveg","[mg/kg DW plant]/[mg/kg soil]","Biotransfer  factor (soil to protected vegetables)","Chemical Specific",,"required for inorganics","Constant",0.00,10.00,"0.322",,"Chemical_constant",0,"BrProveg"
"Risk","Chemical","Biotransfer","BrRoot","[mg/kg DW plant]/[mg/kg soil]","Biotransfer  factor (soil to roots; inorganics only)","Chemical Specific",,"required for inorganics","Constant",0.00,10.00,"",,"Chemical_constant",0,"BrRoot"
"Risk","Chemical","Biotransfer","BrSilage","[mg/kg DW plant]/[mg/kg soil]","Biotransfer  factor (soil to silage)","Chemical Specific",,"required for inorganics","Constant",0.00,10.00,"0.322",,"Chemical_constant",0,"BrSilage"
